CITY,STATE,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,QUANTITYORDERED_is_outlier,PRICEEACH_is_outlier,SALES_is_outlier,MSRP_is_outlier,QUANTITYORDERED_capped,PRICEEACH_capped,SALES_capped,MSRP_capped
NYC,NY,10107,30,95.7,2,2871.0,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NOT PROVIDED,10022,USA,NA,Yu,Kwai,Small,false,false,false,false,30.0,95.7,2871.0,95.0
Reims,Reims,10121,34,81.35,5,2765.9,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,NOT PROVIDED,51100,France,EMEA,Henriot,Paul,Small,false,false,false,false,34.0,81.35,2765.9,95.0
Paris,Paris,10134,41,94.74,2,3884.34,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,NOT PROVIDED,75508,France,EMEA,Da Cunha,Daniel,Medium,false,false,false,false,41.0,94.74,3884.34,95.0
Pasadena,CA,10145,45,83.26,6,3746.7,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,NOT PROVIDED,90003,USA,NA,Young,Julie,Medium,false,false,false,false,45.0,83.26,3746.7,95.0
San Francisco,CA,10159,49,100.0,14,5205.27,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,NOT PROVIDED,CA00000,USA,NA,Brown,Julie,Medium,false,false,false,false,49.0,100.0,5205.27,95.0
Burlingame,CA,10168,36,96.66,1,3479.76,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,NOT PROVIDED,94217,USA,NA,Hirano,Juri,Medium,false,false,false,false,36.0,96.66,3479.76,95.0
Lille,Lille,10180,29,86.13,9,2497.77,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",NOT PROVIDED,59000,France,EMEA,Rance,Martine,Small,false,false,false,false,29.0,86.13,2497.77,95.0
Bergen,Bergen,10188,48,100.0,1,5512.32,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",NOT PROVIDED,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,false,false,false,false,48.0,100.0,5512.32,95.0
San Francisco,CA,10201,22,98.57,2,2168.54,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,NOT PROVIDED,CA00000,USA,NA,Murphy,Julie,Small,false,false,false,false,22.0,98.57,2168.54,95.0
Paris,Paris,10211,41,100.0,14,4708.44,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",NOT PROVIDED,75016,France,EMEA,Perrier,Dominique,Medium,false,false,false,false,41.0,100.0,4708.44,95.0
